subjectID,P,T,W,M,a_subject,v_subject_shift,t0_subject
1,13,528,612,1140,4.151696742071927,0.1072602864416546,0.20284754591528717
2,116,46,1295,1341,3.1902508671817746,-0.07716775492232433,0.22161615167360027
3,98,244,245,489,0.4380399365131096,-0.1336540010610596,0.19343306752442202
4,65,280,780,1060,2.6195096938358575,0.05135675630277138,0.18911274957900165
5,64,480,1241,1721,4.367619438740437,-0.334211816967691,0.1917835455747969
6,128,86,1438,1524,3.382993919869814,0.13993465507057254,0.19711210145715113
7,12,266,526,792,2.786141033193609,-0.1907141629388054,0.19863552657813008
8,104,99,1046,1145,4.467841350703004,0.07412162176485736,0.18753953395097342
9,30,474,446,920,4.11543228048732,-0.1043240674716319,0.16965372120450412
10,14,383,350,733,2.857467208324869,-0.05288374254494073,0.19158606498681444
11,78,303,658,961,3.3509139205835075,-0.15138197455301297,0.20539738499430335
12,146,241,1350,1591,3.528490065799785,-0.03224588623616031,0.2020438745938024
13,110,100,1096,1196,3.713088469732972,0.3778759092034708,0.21799331704738742
14,114,553,836,1389,4.462354515913576,0.27701192540972813,0.22933229815945683
15,107,392,567,959,3.725319802253244,0.07089579099909134,0.21139000657187704
16,117,198,384,582,1.5140573348378306,-0.005058853112990473,0.2207378096361234
17,76,254,551,805,3.748803944529328,0.16884023813857701,0.21150161438394682
18,19,438,398,836,2.7122808008586907,0.22599407882151132,0.22564848883891075
19,125,434,443,877,3.771307719718843,-0.16596367644150586,0.22776280451436903
20,67,282,1093,1375,3.4394513544681202,-0.015487773526440441,0.2142674775616839
21,75,188,372,560,0.7495539969847199,-0.36439164591361606,0.21059570219636878
22,55,399,261,660,1.5823670162424304,0.224620422052179,0.1969215174209395
23,27,398,905,1303,3.0475196427960087,0.41300485154017114,0.19937994078554136
24,139,363,572,935,3.755114767256263,0.016016524924617102,0.19493244002974608
25,117,52,791,843,3.3651910079124647,-0.4250020249806033,0.20931877416342584
26,96,288,381,669,2.463783286168043,0.12177810331540623,0.18919477943960977
27,60,372,472,844,4.280424073763245,-0.18081783322981607,0.19713340685330136
28,123,570,773,1343,2.9129636743014657,-0.132669888332892,0.1646724517223255
29,81,320,1097,1417,3.584171603602942,0.12531527795820077,0.22584634842158766
30,66,212,738,950,3.654052362096018,0.05091082510254488,0.19669288126120524
31,67,337,904,1241,3.1971531218469895,-0.09762175506772035,0.20683370656004865
32,34,114,878,992,3.5449605443198826,-0.12992112652033289,0.22186680042067106
33,13,63,549,612,1.4499961452293997,0.02516721104416655,0.2045044015616177
34,83,410,563,973,4.259160029928175,-0.0818931105024735,0.22166515553140148
35,133,591,753,1344,3.230031192126818,-0.22184742672060148,0.1813739328177295
