RT_sec,responded,omission,ACC,response_boundary,condition_id,source_group_ids,P,T_ms,W_ms,identity,v,a,t,z
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
,0,1,0,,1,1,0.0,30.0,300.0,self,-3.385345646384233,1.7260867198623875,0.27073220793474073,0.7488588332350298
