subject,trial,P,T,W,M,label,v,a,t0,z,RT,response
1,1,142,480,1315,1795,stranger,-0.5732191066097583,3.3635544272400137,0.2,1.6817772136200069,1.1640000000000008,1
1,2,142,480,1315,1795,stranger,1.2415871699624392,2.1236744532779146,0.2,1.0618372266389573,1.0100000000000007,1
1,3,142,480,1315,1795,stranger,2.712455298086083,2.6994106422338455,0.2,1.3497053211169228,0.4680000000000002,1
1,4,142,480,1315,1795,stranger,0.3375164876866902,2.4303603362697843,0.2,1.2151801681348922,0.7810000000000004,1
1,5,142,480,1315,1795,stranger,1.5152406147704078,3.038042914159884,0.2,1.519021457079942,1.795,0
1,6,142,480,1315,1795,stranger,1.9718932567916834,2.9721971775533227,0.2,1.4860985887766613,0.5250000000000002,1
1,7,142,480,1315,1795,stranger,0.9925910791370196,2.9027157614509673,0.2,1.4513578807254837,0.9540000000000006,1
1,8,142,480,1315,1795,stranger,1.0872074674925842,2.941850265469128,0.2,1.470925132734564,1.4709999999999708,1
1,9,142,480,1315,1795,stranger,1.8285986521547226,1.8050278172613585,0.2,0.9025139086306793,0.8310000000000004,1
1,10,142,480,1315,1795,stranger,0.27288885653571227,2.8867433498728303,0.2,1.4433716749364152,1.1650000000000007,2
1,11,142,480,1315,1795,stranger,1.4198866507269474,2.800504288095502,0.2,1.400252144047751,0.8790000000000004,1
1,12,142,480,1315,1795,stranger,0.6883966945589051,2.4766658645291657,0.2,1.2383329322645829,2.030999999999909,1
1,13,142,480,1315,1795,stranger,3.320809501724434,2.9732123081581716,0.2,1.4866061540790858,0.5780000000000003,1
1,14,142,480,1315,1795,stranger,-0.16770731967775898,2.7623076999579768,0.2,1.3811538499789884,1.65899999999995,2
1,15,142,480,1315,1795,stranger,2.3559073090826788,2.164138453956415,0.2,1.0820692269782075,0.42800000000000016,1
1,16,142,480,1315,1795,stranger,2.579943521371928,3.074653266369052,0.2,1.537326633184526,0.7810000000000004,1
1,17,142,480,1315,1795,stranger,0.9569507549683836,2.8110782130308407,0.2,1.4055391065154204,1.2809999999999917,1
1,18,142,480,1315,1795,stranger,1.8308617349748344,1.7506702835791548,0.2,0.8753351417895774,0.3770000000000001,1
1,19,142,480,1315,1795,stranger,1.0871875092170673,2.9043642535270635,0.2,1.4521821267635318,1.795,0
1,20,142,480,1315,1795,stranger,-0.6560198550038754,1.105974401275844,0.2,0.552987200637922,0.4980000000000002,2
1,21,142,480,1315,1795,stranger,2.634312348456746,2.2057552011255366,0.2,1.1028776005627683,0.5260000000000002,1
1,22,142,480,1315,1795,stranger,2.042442992768831,2.8051249560689566,0.2,1.4025624780344783,0.9290000000000005,1
1,23,142,480,1315,1795,stranger,3.1704428108867972,2.548496966860274,0.2,1.274248483430137,0.5640000000000003,1
1,24,142,480,1315,1795,stranger,-0.9853459582208148,2.0077304344121125,0.2,1.0038652172060563,1.3189999999999875,2
1,25,142,480,1315,1795,stranger,0.4812419882969058,2.165395906082632,0.2,1.082697953041316,1.2339999999999969,1
1,26,142,480,1315,1795,stranger,0.47644474658982405,2.8527648227975355,0.2,1.4263824113987678,0.5840000000000003,1
1,27,142,480,1315,1795,stranger,0.3869197437226062,2.5850689048457403,0.2,1.2925344524228701,0.8940000000000006,1
1,28,142,480,1315,1795,stranger,1.5007819911788731,2.0986712298765013,0.2,1.0493356149382507,0.9410000000000005,1
