subject,trial,P,T,W,M,label,v,a,t0,z,RT,response
1,1,77,571,1487,2058,stranger,0.7064096405697051,1.881980641902582,0.2,0.940990320951291,0.7820000000000005,1
1,2,77,571,1487,2058,stranger,-1.3041472426332148,2.0982184469071967,0.2,1.0491092234535984,2.058,0
1,3,77,571,1487,2058,stranger,-0.834172467375351,1.7126045441146882,0.2,0.8563022720573441,0.7840000000000005,2
1,4,77,571,1487,2058,stranger,4.064027412647491,2.1095677955534695,0.2,1.0547838977767348,0.4560000000000002,1
1,5,77,571,1487,2058,stranger,2.1055969130760905,2.54368695065592,0.2,1.27184347532796,0.5850000000000003,1
1,6,77,571,1487,2058,stranger,-0.934533431873412,2.136957823124071,0.2,1.0684789115620354,0.6060000000000003,2
1,7,77,571,1487,2058,stranger,1.555396505526707,2.2365099955226877,0.2,1.1182549977613438,0.9320000000000006,1
1,8,77,571,1487,2058,stranger,2.227272337482619,1.8906427081652355,0.2,0.9453213540826177,0.6740000000000004,1
1,9,77,571,1487,2058,stranger,4.304170114338133,2.1419973657427827,0.2,1.0709986828713913,0.4790000000000002,1
1,10,77,571,1487,2058,stranger,5.104365043112264,2.080516194887309,0.2,1.0402580974436546,0.3450000000000001,1
1,11,77,571,1487,2058,stranger,2.038358509765307,2.5995769041968946,0.2,1.2997884520984473,0.6320000000000003,1
1,12,77,571,1487,2058,stranger,2.6332749024476314,2.11751506177882,0.2,1.05875753088941,0.6940000000000004,1
1,13,77,571,1487,2058,stranger,1.312608451129082,2.7087565133797242,0.2,1.3543782566898621,2.069999999999905,1
1,14,77,571,1487,2058,stranger,1.2205390854271123,2.089351742321836,0.2,1.044675871160918,0.9060000000000006,1
1,15,77,571,1487,2058,stranger,3.4201068589597434,2.245550616377362,0.2,1.122775308188681,0.8810000000000004,1
1,16,77,571,1487,2058,stranger,0.02743987155167671,2.440488859291741,0.2,1.2202444296458705,1.2679999999999931,2
1,17,77,571,1487,2058,stranger,-1.90906162400676,2.004675714359715,0.2,1.0023378571798576,0.5680000000000003,2
1,18,77,571,1487,2058,stranger,-2.0062725106875847,3.0072368563833494,0.2,1.5036184281916747,0.9600000000000006,2
1,19,77,571,1487,2058,stranger,2.095380586302296,2.1553391283642482,0.2,1.0776695641821241,0.7540000000000004,1
1,20,77,571,1487,2058,stranger,0.4133706637014618,2.6456620144976304,0.2,1.3228310072488152,2.058,0
1,21,77,571,1487,2058,stranger,5.288546488849707,3.3053984053104752,0.2,1.6526992026552376,0.41100000000000014,1
1,22,77,571,1487,2058,stranger,1.5242707856741933,3.0455440172916948,0.2,1.5227720086458474,0.7290000000000003,1
1,23,77,571,1487,2058,stranger,3.807926738793525,2.4602917783437306,0.2,1.2301458891718653,0.7400000000000004,1
1,24,77,571,1487,2058,stranger,2.626808371519781,2.2461570536448514,0.2,1.1230785268224257,0.6530000000000004,1
1,25,77,571,1487,2058,stranger,1.581393314931181,2.5119636420106572,0.2,1.2559818210053286,0.6750000000000004,1
1,26,77,571,1487,2058,stranger,-0.38853887067437887,2.068397258125466,0.2,1.034198629062733,2.058,0
1,27,77,571,1487,2058,stranger,0.06088847505557837,2.8256348293179423,0.2,1.4128174146589711,2.058,0
1,28,77,571,1487,2058,stranger,2.4219931201011216,2.2546853752946228,0.2,1.1273426876473114,0.4970000000000002,1
1,29,77,571,1487,2058,stranger,1.6427391250781445,1.8968456456842562,0.2,0.9484228228421281,0.6750000000000004,1
1,30,77,571,1487,2058,stranger,0.2263881719451062,2.323686679766449,0.2,1.1618433398832244,2.058,0
1,1,77,571,1487,2058,self,8.372794274847605,1.9110869601390201,0.2,0.9555434800695101,0.3140000000000001,1
