subject,group,trial,P,T,W,M,label,v,a,t0,z,RT,response
1,1,1,0,30,300,330,stranger,-0.15495447555578656,1.8920763417673676,0.2,0.9460381708836838,1.0370000000000006,1
1,1,2,0,30,300,330,stranger,0.42098853490846616,1.237439154598024,0.2,0.618719577299012,0.3850000000000001,1
1,1,3,0,30,300,330,stranger,-0.21881297190292803,1.410801551469553,0.2,0.7054007757347766,0.4850000000000002,1
1,1,4,0,30,300,330,stranger,1.703558297356748,1.268167020627597,0.2,0.6340835103137985,0.40100000000000013,1
1,1,5,0,30,300,330,stranger,-0.06315121328729309,1.3379333334616352,0.2,0.6689666667308176,1.640999999999952,2
1,1,6,0,30,300,330,stranger,0.9363426829280344,1.0114832220573717,0.2,0.5057416110286859,0.3010000000000001,1
1,1,7,0,30,300,330,stranger,1.3305134782811627,1.5797399801446304,0.2,0.7898699900723152,0.5180000000000002,1
1,1,8,0,30,300,330,stranger,-0.8130640689424755,2.016158399757314,0.2,1.008079199878657,0.4850000000000002,2
1,1,9,0,30,300,330,stranger,-0.7300030789353127,1.4805528494463758,0.2,0.7402764247231879,0.5260000000000002,2
1,1,10,0,30,300,330,stranger,-0.3777329894055795,1.9115136214686173,0.2,0.9557568107343086,0.42200000000000015,2
1,1,11,0,30,300,330,stranger,0.8561786081783445,2.0993128698369565,0.2,1.0496564349184783,1.0540000000000007,1
1,1,12,0,30,300,330,stranger,0.6170027798149582,0.7645123249384091,0.2,0.3822561624692046,0.2730000000000001,2
1,1,13,0,30,300,330,stranger,1.5235437442168094,1.3607786950717335,0.2,0.6803893475358668,0.7130000000000003,2
1,1,14,0,30,300,330,stranger,1.5527707105676265,1.848738435540935,0.2,0.9243692177704675,0.6010000000000003,1
1,1,15,0,30,300,330,stranger,-0.43389610329710754,1.2045200024962623,0.2,0.6022600012481312,0.3770000000000001,2
1,1,16,0,30,300,330,stranger,0.7594181009481538,0.9087120352490579,0.2,0.45435601762452893,0.6460000000000004,2
1,1,17,0,30,300,330,stranger,1.4996413585645587,1.1693223549438496,0.2,0.5846611774719248,0.2970000000000001,1
1,1,18,0,30,300,330,stranger,0.451693753900505,1.5286842750391538,0.2,0.7643421375195769,1.1870000000000007,1
1,1,19,0,30,300,330,stranger,2.238092354283004,1.4960790996609536,0.2,0.7480395498304768,0.5340000000000003,1
1,1,20,0,30,300,330,stranger,0.5485005647392924,1.0274560685666145,0.2,0.5137280342833073,0.5350000000000003,1
1,1,21,0,30,300,330,stranger,0.09286821052937692,2.109397609107028,0.2,1.054698804553514,0.33,0
1,1,22,0,30,300,330,stranger,-1.3168496472278226,1.2574461517392024,0.2,0.6287230758696012,0.2770000000000001,2
1,1,23,0,30,300,330,stranger,-0.96478155793847,1.2222211862425088,0.2,0.6111105931212544,0.3840000000000001,2
1,1,24,0,30,300,330,stranger,0.8201643811891242,0.9541212894695521,0.2,0.47706064473477605,0.5080000000000002,1
1,1,25,0,30,300,330,stranger,-0.0974097925017362,2.1542690201648367,0.2,1.0771345100824183,0.33,0
1,1,26,0,30,300,330,stranger,0.25721264511887365,1.0585147572168987,0.2,0.5292573786084493,0.4820000000000002,1
1,1,27,0,30,300,330,stranger,1.0642061697205605,1.0696242687881787,0.2,0.5348121343940894,0.40000000000000013,1
1,1,28,0,30,300,330,stranger,1.2772941967246876,1.4662920338865375,0.2,0.7331460169432688,0.4930000000000002,1
1,1,29,0,30,300,330,stranger,1.2471782588063949,0.654342942948801,0.2,0.3271714714744005,0.3110000000000001,2
1,1,30,0,30,300,330,stranger,-1.7711375200116626,0.9481100989541513,0.2,0.47405504947707566,0.3040000000000001,1
1,1,1,0,30,300,330,self,0.14433712235334897,0.9904981420887223,0.2,0.49524907104436117,0.8320000000000005,1
1,1,2,0,30,300,330,self,1.2712684227582665,1.4376085859353034,0.2,0.7188042929676517,0.5530000000000003,1
1,1,3,0,30,300,330,self,0.41319800895004394,2.0076541249671425,0.2,1.0038270624835712,1.7659999999999383,1
1,1,4,0,30,300,330,self,0.9838680764327543,0.8173772286258293,0.2,0.40868861431291464,0.3000000000000001,1
1,1,5,0,30,300,330,self,-1.1321525573639508,1.0900724756625961,0.2,0.5450362378312981,0.41800000000000015,2
1,1,6,0,30,300,330,self,-0.4402816318646973,2.4073110870594205,0.2,1.2036555435297103,0.6620000000000004,1
1,1,7,0,30,300,330,self,-2.2725700243348985,0.7180969302818463,0.2,0.35904846514092315,0.4540000000000002,2
1,1,8,0,30,300,330,self,-0.8164514407104945,1.088021908264238,0.2,0.544010954132119,1.0490000000000006,2
1,1,9,0,30,300,330,self,1.31229570050837,0.9441561407035263,0.2,0.47207807035176313,0.3210000000000001,1
1,1,10,0,30,300,330,self,0.7458500211711024,1.032285143314321,0.2,0.5161425716571605,0.3010000000000001,2
1,1,11,0,30,300,330,self,-0.4455688813956331,1.2683686858514085,0.2,0.6341843429257042,0.6650000000000004,1
1,1,12,0,30,300,330,self,-0.8306905194843431,0.5838060089372754,0.2,0.2919030044686377,0.22500000000000003,2
1,1,13,0,30,300,330,self,0.2477971386460504,1.4991418052760417,0.2,0.7495709026380208,0.5880000000000003,1
1,1,14,0,30,300,330,self,2.3918700149054666,1.8942514572373077,0.2,0.9471257286186539,1.0630000000000006,1
1,1,15,0,30,300,330,self,-0.5703262881763973,1.3691329435518962,0.2,0.6845664717759481,0.3350000000000001,2
1,1,16,0,30,300,330,self,-0.07573278950512624,2.00778484982641,0.2,1.003892424913205,1.1240000000000008,1
1,1,17,0,30,300,330,self,-1.6624557467748264,1.9098641306273905,0.2,0.9549320653136952,0.6980000000000004,2
1,1,18,0,30,300,330,self,-1.0967239584505426,1.191867072271801,0.2,0.5959335361359005,0.24300000000000005,2
1,1,19,0,30,300,330,self,-1.0072209280908953,1.8122055468529286,0.2,0.9061027734264643,0.3100000000000001,2
1,1,20,0,30,300,330,self,-0.4554371144854296,2.0560007465551795,0.2,1.0280003732775898,1.7289999999999424,2
1,1,21,0,30,300,330,self,-1.0804858440660317,1.9046395297069831,0.2,0.9523197648534916,0.8200000000000005,2
1,1,22,0,30,300,330,self,0.19316645451663628,2.065136274938456,0.2,1.032568137469228,1.6849999999999472,1
1,1,23,0,30,300,330,self,-1.1693528705862262,1.1107254200590928,0.2,0.5553627100295464,1.2249999999999979,2
1,1,24,0,30,300,330,self,-1.2891702643839695,0.6898145050740654,0.2,0.3449072525370327,0.2740000000000001,2
1,1,25,0,30,300,330,self,0.1261509379586391,0.05920470712282655,0.2,0.029602353561413275,0.201,2
1,1,26,0,30,300,330,self,1.759732706391019,2.2351253959576183,0.2,1.1175626979788091,0.8850000000000005,1
1,1,27,0,30,300,330,self,1.089692252413221,1.745727361407353,0.2,0.8728636807036765,1.250999999999995,2
1,1,28,0,30,300,330,self,0.1551419880359553,1.5565667791583078,0.2,0.7782833895791539,0.42700000000000016,2
