subj_idx,condition,z_level,z_subj,stimulus,rt,response_raw,choice
0,neutral,0.5,0.5066141298908036,1,0.4467423076987003,1,1
0,neutral,0.5,0.5066141298908036,1,0.5557423076987367,1,1
0,neutral,0.5,0.5066141298908036,1,0.6327423076947549,0,0
0,neutral,0.5,0.5066141298908036,1,1.200742307698952,1,1
0,neutral,0.5,0.5066141298908036,1,0.33974230769465713,0,0
0,neutral,0.5,0.5066141298908036,1,0.4777423076947032,0,0
0,neutral,0.5,0.5066141298908036,1,0.27074230769864155,1,1
0,neutral,0.5,0.5066141298908036,1,0.49474230769871635,1,1
0,neutral,0.5,0.5066141298908036,1,0.30274230769865224,1,1
0,neutral,0.5,0.5066141298908036,1,0.44274230769469153,0,0
0,neutral,0.5,0.5066141298908036,1,0.3087423076946468,0,0
0,neutral,0.5,0.5066141298908036,1,0.4747423076987097,1,1
0,neutral,0.5,0.5066141298908036,1,0.6087423076987544,1,1
0,neutral,0.5,0.5066141298908036,1,0.7857423076988135,1,1
0,neutral,0.5,0.5066141298908036,1,0.430742307698695,1,1
0,neutral,0.5,0.5066141298908036,1,0.25474230769462874,0,0
0,neutral,0.5,0.5066141298908036,1,0.574742307698743,1,1
0,neutral,0.5,0.5066141298908036,1,0.38274230769867895,1,1
0,neutral,0.5,0.5066141298908036,1,0.3947423076946755,0,0
0,neutral,0.5,0.5066141298908036,1,0.7727423076988091,1,1
0,neutral,0.5,0.5066141298908036,1,0.5227423076947182,0,0
0,neutral,0.5,0.5066141298908036,1,0.3227423076986589,1,1
0,neutral,0.5,0.5066141298908036,1,0.3807423076986783,1,1
0,neutral,0.5,0.5066141298908036,1,0.6207423076987584,1,1
0,neutral,0.5,0.5066141298908036,1,0.4777423076987107,1,1
0,neutral,0.5,0.5066141298908036,1,0.5077423076987206,1,1
0,neutral,0.5,0.5066141298908036,1,0.25074230769863487,1,1
0,neutral,0.5,0.5066141298908036,1,0.4087423076946802,0,0
0,neutral,0.5,0.5066141298908036,1,0.680742307694771,0,0
0,neutral,0.5,0.5066141298908036,1,0.47074230769870834,1,1
0,neutral,0.5,0.5066141298908036,1,0.25874230769863754,1,1
0,neutral,0.5,0.5066141298908036,1,0.3747423076946688,0,0
0,neutral,0.5,0.5066141298908036,1,1.6037423076990867,1,1
0,neutral,0.5,0.5066141298908036,1,0.41274230769868897,1,1
0,neutral,0.5,0.5066141298908036,1,0.791742307694808,0,0
0,neutral,0.5,0.5066141298908036,1,0.6687423076987744,1,1
0,neutral,0.5,0.5066141298908036,1,0.3057423076946458,0,0
0,neutral,0.5,0.5066141298908036,1,0.6547423076987697,1,1
0,neutral,0.5,0.5066141298908036,1,1.0517423076989023,1,1
0,neutral,0.5,0.5066141298908036,1,0.3687423076986743,1,1
